date,community,usage,deal,amount_aed,area_sqm
2026-01-05,Dubai Marina,residential,sale,1830000,92
2026-01-11,Dubai Marina,residential,sale,1710000,88
2026-01-26,Dubai Marina,residential,sale,1950000,95
2026-01-08,Dubai Marina,residential,rent,142000,92
2026-01-14,Dubai Marina,residential,rent,135000,88
2026-01-30,Dubai Marina,residential,rent,149000,95
2026-02-04,Dubai Marina,residential,sale,1880000,91
2026-02-16,Dubai Marina,residential,sale,1810000,89
2026-02-24,Dubai Marina,residential,sale,2020000,96
2026-01-03,Business Bay,commercial,sale,2550000,110
2026-01-18,Business Bay,commercial,sale,2790000,118
2026-01-28,Business Bay,commercial,sale,2660000,113
2026-01-06,Business Bay,commercial,rent,230000,110
2026-01-20,Business Bay,commercial,rent,248000,118
2026-01-29,Business Bay,commercial,rent,239000,113
